comment,category
Amazing work! Loved the animation.,Praise
This is absolutely stunning! Great job!,Praise
"Wow, incredible effort. Keep it up!",Praise
Outstanding work! This is what quality looks like.,Praise
Best thing I've seen today! Fantastic!,Praise
You never disappoint. Amazing as always!,Praise
This is pure gold! Loved every second of it.,Praise
Brilliant! The attention to detail is incredible.,Praise
Perfection! Can't stop watching this.,Praise
Absolutely phenomenal work! Bravo!,Praise
This deserves millions of views!,Praise
You're a genius! This is masterpiece level.,Praise
I'm blown away by this quality!,Praise
This is exactly what we needed. Perfect!,Praise
Top tier content! Love your work!,Praise
"Keep going, you're doing great!",Support
Don't give up! You're improving so much!,Support
We're all rooting for you! Stay strong!,Support
You got this! Keep pushing forward!,Support
Believe in yourself. You're talented!,Support
"Stay consistent, success will follow!",Support
You inspire me to do better. Thank you!,Support
Don't listen to the haters. Keep going!,Support
Your hard work shows. Keep it up!,Support
We believe in you! Never stop creating!,Support
You're on the right path. Keep moving!,Support
The community supports you fully!,Support
Your dedication is admirable. Continue!,Support
Stay motivated! Great things ahead!,Support
You're making progress. Don't stop now!,Support
The animation was okay but the voiceover felt off.,Constructive Criticism
"Good effort, but the pacing needs work.",Constructive Criticism
I liked it but the background music was too loud.,Constructive Criticism
Nice concept but the execution could be better.,Constructive Criticism
Appreciate the effort but the colors seem off.,Constructive Criticism
"Good start, but needs more refinement.",Constructive Criticism
The idea is great but implementation lacks polish.,Constructive Criticism
I like where this is going but it feels rushed.,Constructive Criticism
Content is good but audio quality needs improvement.,Constructive Criticism
"Decent work, but the transitions were jarring.",Constructive Criticism
The message is clear but delivery could be smoother.,Constructive Criticism
Good attempt but consider better lighting next time.,Constructive Criticism
I enjoyed it but the ending felt abrupt.,Constructive Criticism
Nice work overall but some scenes dragged on.,Constructive Criticism
The script is good but timing needs adjustment.,Constructive Criticism
Good concept but maybe try a different approach.,Constructive Criticism
It's okay but lacks the wow factor.,Constructive Criticism
Appreciate it but the font choice was distracting.,Constructive Criticism
Good try but the pacing felt inconsistent.,Constructive Criticism
I see the vision but needs more work.,Constructive Criticism
"This is trash, quit now.",Hate
Absolute garbage. Why even bother?,Hate
Worst thing I've ever seen. Delete this.,Hate
You have no talent. Give up already.,Hate
This is pathetic. What a waste of time.,Hate
Useless content from a useless creator.,Hate
You're terrible at this. Stop embarrassing yourself.,Hate
Nobody cares about your trash content.,Hate
This is painful to watch. Pure cringe.,Hate
You should be ashamed of posting this.,Hate
Disgusting work. Zero effort shown.,Hate
This is an insult to actual creators.,Hate
Complete failure. Stick to your day job.,Hate
Unwatchable garbage. Disliked immediately.,Hate
You're ruining the platform with this junk.,Hate
I'll report you if this continues.,Threat
Keep this up and you'll face consequences.,Threat
You better take this down or else.,Threat
I'm reporting this to the authorities.,Threat
This is unacceptable. Prepare for legal action.,Threat
I'll make sure everyone knows what you did.,Threat
You're going to regret posting this.,Threat
I'll expose you for this. Watch out.,Threat
This won't end well for you.,Threat
You've crossed a line. Expect backlash.,Threat
I'm filing a complaint against you.,Threat
This is illegal. Lawyers will contact you.,Threat
You'll pay for this disrespect.,Threat
I'll personally see to your downfall.,Threat
Consider this a final warning.,Threat
This reminded me of my childhood.,Emotional
I'm crying watching this. So touching.,Emotional
This hits different. Brought tears to my eyes.,Emotional
Feeling so nostalgic right now.,Emotional
This made my day. I needed this.,Emotional
Can't stop crying. This is beautiful.,Emotional
My heart is full after watching this.,Emotional
This brought back so many memories.,Emotional
I'm emotional. Thank you for this.,Emotional
This touched my soul deeply.,Emotional
Tears streaming down my face right now.,Emotional
This resonates with me so much.,Emotional
I feel seen and understood. Thank you.,Emotional
This gave me goosebumps. Powerful.,Emotional
My emotions are all over the place.,Emotional
This healed something in me. Grateful.,Emotional
"I'm not crying, you're crying!",Emotional
This struck a chord with me.,Emotional
Feeling overwhelmed with emotions.,Emotional
This is exactly what my heart needed.,Emotional
Follow me for followers.,Spam
Check out my profile! Link in bio!,Spam
Free giveaway! Click here now!,Spam
Make money fast! DM me for details!,Spam
Sub4sub? Anyone interested?,Spam
Earning $5000 daily! Message me how!,Spam
Click this link for amazing deals!,Spam
F4F L4L? Drop your handle below!,Spam
Promote your channel here! Quick growth!,Spam
Buy followers cheap! Visit my page!,Spam
Weight loss miracle! Try it now!,Spam
Get rich quick! Limited time offer!,Spam
Follow for follow back guaranteed!,Spam
Subscribe to my channel please!,Spam
Like my recent posts! I'll return favor!,Spam
Join my telegram group for tips!,Spam
Crypto investment opportunity! DM now!,Spam
Free iPhone giveaway! Comment to enter!,Spam
Looking for collabs! Check my profile!,Spam
Drop your links below! Supporting all!,Spam
Can you make one on topic X?,Question
How long did this take to create?,Question
What software did you use for this?,Question
Will you do a tutorial on this?,Question
Can I use this for my project?,Question
When is part 2 coming out?,Question
Where can I learn these skills?,Question
Do you offer courses or coaching?,Question
What inspired you to make this?,Question
How did you get started in this?,Question
Can you do a video about animation basics?,Question
What's your creative process like?,Question
Any tips for beginners like me?,Question
Is there a behind-the-scenes video?,Question
How much does equipment like this cost?,Question
Can you collaborate with smaller creators?,Question
What camera settings did you use?,Question
Where do you find your music tracks?,Question
Do you accept requests for topics?,Question
What editing software would you recommend?,Question
How about a dark mode version?,Question
You should add subtitles for accessibility.,Question
Consider making shorter versions for reels.,Question
Would love to see more content like this!,Question
Maybe try a different color scheme next time?,Question
You should create a podcast on this topic!,Question
Have you thought about live streaming?,Question
This would be great as a series!,Question
You could monetize this with a course.,Question
Try experimenting with different formats!,Question
Add chapters for easier navigation.,Question
Consider collaborating with other creators.,Question
A merch line would be perfect for this!,Question
Make a compilation of your best work!,Question
You should submit this to film festivals!,Question
Random comment here lol,Spam
First! Who else is here early?,Spam
Anyone watching in 2025?,Spam
Who came here from TikTok?,Spam
Algorithm brought me here!,Spam
Not bad for a beginner I guess.,Constructive Criticism
The audio needs serious improvement.,Constructive Criticism
Too many ads interrupted the flow.,Constructive Criticism
Good idea but poor execution overall.,Constructive Criticism
The thumbnail promised more than delivered.,Constructive Criticism
This is mediocre at best honestly.,Constructive Criticism
You copied this from someone else!,Hate
Unoriginal and boring. Next!,Hate
Why does this even exist?,Hate
I want my time back. Awful.,Hate
Stop spamming my feed with garbage.,Hate
You'll hear from my lawyer soon.,Threat
This violates copyright. Reported.,Threat
I'm sharing this with authorities.,Threat
This feels like a warm hug.,Emotional
Sobbing uncontrollably. So beautiful.,Emotional
This speaks to my soul.,Emotional
I needed this today. Thank you.,Emotional
Feeling so grateful right now.,Emotional
This made me believe in humanity again.,Emotional
Check my new video out!,Spam
Subscribe and I'll sub back!,Spam
Trying to reach 1k subs! Help!,Spam
Visit my store! Huge discounts!,Spam
Lovely work! So creative and unique.,Praise
This is art in its purest form!,Praise
You set the bar so high! Amazing!,Praise
Such a talented creator! Kudos!,Praise
Everything about this is perfect!,Praise
What tools did you use here?,Question
Any plans for a sequel?,Question
How can I support your work?,Question
Are you open to sponsorships?,Question
What's your upload schedule?,Question
Would love to see more behind scenes!,Question
Please make this a regular series!,Question
Add captions for deaf viewers please.,Question
You could expand this into a book!,Question
Try adding more humor next time!,Question
This content is incredibly well-made!,Praise
